m,n,k,kernelId,kernelParam1,kernelParam2,kernelParam3
4608,48,4096,1,2,1,2
4608,64,4096,1,2,1,2
4608,80,4096,1,1,1,4
4608,96,4096,1,2,2,4
4608,112,4096,1,2,2,4
4608,128,4096,1,2,2,4
4608,144,4096,1,2,2,4
4608,160,4096,1,2,2,4
4608,176,4096,1,2,2,4
4608,192,4096,1,2,2,4
4608,208,4096,1,2,2,4
4608,224,4096,1,2,2,4
4608,240,4096,1,2,2,4
4608,256,4096,1,2,2,4
65024,16,4096,1,2,1,1
65024,32,4096,1,2,1,1
65024,48,4096,1,2,1,1
65024,64,4096,1,2,1,1
65024,80,4096,1,2,1,1
65024,96,4096,1,2,1,1
65024,112,4096,1,2,1,1
65024,128,4096,1,2,1,1
65024,144,4096,1,2,1,1
65024,160,4096,1,2,1,1
65024,176,4096,1,2,1,1
65024,192,4096,1,2,1,1
65024,208,4096,1,2,2,1
65024,224,4096,1,2,2,1
65024,240,4096,1,2,2,1
65024,256,4096,1,2,2,1
13696,16,4096,1,1,1,4
13696,32,4096,1,1,1,4
13696,48,4096,1,1,1,4
13696,64,4096,1,1,1,4
13696,80,4096,1,2,1,4
13696,96,4096,1,2,1,3
13696,112,4096,1,2,1,3
13696,128,4096,1,2,1,3
13696,144,4096,1,2,1,3
13696,160,4096,1,2,1,3
13696,176,4096,1,2,1,3
13696,192,4096,1,2,2,3
13696,208,4096,1,2,2,2
13696,224,4096,1,2,2,2
13696,240,4096,1,2,2,2
13696,256,4096,1,2,2,2
8064,16,6656,1,1,1,4
8064,32,6656,1,2,1,1
8064,48,6656,1,2,1,1
8064,64,6656,1,2,1,3
8064,80,6656,1,2,1,3
8064,96,6656,1,2,1,3
8064,112,6656,1,2,1,3
8064,128,6656,1,2,1,3
4992,16,6656,1,2,1,2
4992,32,6656,1,2,1,2
4992,48,6656,1,2,1,2
4992,64,6656,1,1,1,4
4992,80,6656,1,1,1,4
4992,96,6656,1,2,1,4
4992,112,6656,1,2,1,4
4992,128,6656,1,2,1,4
6656,16,1664,1,2,1,2
6656,32,1664,1,2,1,2
6656,48,1664,1,1,1,2
6656,64,1664,1,1,1,2
6656,80,1664,1,2,1,2
6656,96,1664,1,2,1,2
6656,112,1664,1,2,1,2
6656,128,1664,1,2,2,2
8960,16,6656,1,2,1,1
8960,32,6656,1,2,1,1
8960,48,6656,1,2,1,1
8960,64,6656,1,2,1,1
8960,80,6656,1,2,1,4
8960,96,6656,1,2,1,4
8960,112,6656,1,2,1,4
8960,128,6656,1,2,1,4
6656,16,4480,1,2,1,2
6656,32,4480,1,1,1,2
6656,48,4480,1,2,1,2
6656,64,4480,1,1,1,2
6656,80,4480,1,2,1,2
6656,96,4480,1,2,1,2
6656,112,4480,1,2,1,2
6656,128,4480,1,2,2,2
6144,16,8192,1,2,1,2
6144,32,8192,1,1,1,2
6144,48,8192,1,2,1,2
6144,64,8192,1,2,1,2
8192,16,2048,1,2,1,1
8192,32,2048,1,2,1,1
8192,48,2048,1,2,1,1
8192,64,2048,1,2,1,3
5504,16,8192,1,2,1,4
5504,32,8192,1,2,1,2
5504,48,8192,1,2,1,2
5504,64,8192,1,2,1,2
11008,16,8192,1,2,1,1
11008,32,8192,1,1,1,3
11008,48,8192,1,2,1,1
11008,64,8192,1,2,1,1
8192,16,5504,1,2,1,1
8192,32,5504,1,2,1,1
8192,48,5504,1,1,1,4
8192,64,5504,1,2,1,3
3072,16,8192,1,2,1,3
3072,32,8192,1,1,1,4
3072,48,8192,1,2,1,3
3072,64,8192,1,2,1,3
8192,16,1024,1,2,1,1
8192,32,1024,1,2,1,1
8192,48,1024,1,2,1,1
8192,64,1024,1,2,1,1
2816,16,8192,1,2,1,4
2816,32,8192,1,2,1,4
2816,48,8192,1,1,1,4
2816,64,8192,1,2,1,4
5504,16,8192,1,2,1,2
5504,32,8192,1,2,1,2
5504,48,8192,1,2,1,2
5504,64,8192,1,2,1,2
8192,16,2816,1,2,1,1
8192,32,2816,1,2,1,1
8192,48,2816,1,2,1,1
8192,64,2816,1,2,1,1
8064,16,8192,1,2,1,1
8064,32,8192,1,2,1,1
8064,48,8192,1,2,1,1
8064,64,8192,1,1,1,4
2560,16,8192,1,2,1,4
2560,32,8192,1,2,1,4
2560,48,8192,1,2,1,4
2560,64,8192,1,2,1,4
8192,16,2048,1,1,1,4
8192,32,2048,1,2,1,1
8192,48,2048,1,2,1,1
8192,64,2048,1,2,1,1
14336,16,8192,1,1,1,4
14336,32,8192,1,1,1,4
14336,48,8192,1,1,1,4
14336,64,8192,1,1,1,4
8192,16,7168,1,2,1,1
8192,32,7168,1,2,1,1
8192,48,7168,1,2,1,1
8192,64,7168,1,2,1,3
1280,16,8192,1,1,1,4
1280,32,8192,1,1,1,4
1280,48,8192,1,1,1,4
1280,64,8192,1,1,1,4
4096,16,8192,1,2,1,2
4096,32,8192,1,2,1,2
4096,48,8192,1,2,1,3
4096,64,8192,1,1,1,3
7168,16,8192,1,2,1,3
7168,32,8192,1,2,1,3
7168,48,8192,1,2,1,3
7168,64,8192,1,2,1,3
8192,16,1024,1,2,1,1
8192,32,1024,1,2,1,1
8192,48,1024,1,2,1,1
8192,64,1024,1,2,2,3
8192,16,3584,1,1,1,4
8192,32,3584,1,2,1,1
8192,48,3584,1,2,1,1
8192,64,3584,1,2,1,3
32000,16,4096,1,2,1,2
32000,32,4096,1,1,1,1
32000,48,4096,1,1,1,1
32000,64,4096,1,1,1,1
32000,80,4096,1,2,1,2
32000,96,4096,1,2,1,2
32000,112,4096,1,2,1,2
32000,128,4096,1,2,1,2
32000,144,4096,1,2,1,2
32000,160,4096,1,2,1,2
32000,176,4096,1,2,1,2
32000,192,4096,1,2,1,2
32000,208,4096,1,2,2,1
32000,224,4096,1,2,2,1
32000,240,4096,1,2,2,1
32000,256,4096,1,2,2,1
